creationTime,productSize,productColor,content
2019-10-10 13:52:33,全网通（8GB 128GB）,冰岛白,手机特别好看，屏幕很好，运行速度挺快的，至于为什么差评呢，因为好评没人看
2019-06-25 13:27:16,全网通（8GB 128GB）,冰岛白,坑呀
2019-06-09 20:20:30,全网通（8GB 128GB）,幻夜黑,给儿子买的  速度还是可以 就是没有耳机? 很遗憾
2019-08-08 23:30:44,全网通（8GB 128GB）,幻夜黑,烫手
2019-07-12 12:47:52,全网通（8GB 256GB）,冰岛白,"买20有什么用，问了华为客服，20用不了5G,你们买的时候再等等吧"
2019-07-04 16:27:25,全网通（8GB 128GB）,幻夜黑,一个礼拜就开始卡顿了，电池还可以
2019-09-02 16:33:35,全网通（8GB 128GB）,幻影蓝,手机不错。京东客服太顶了，从头到尾只会说一句，很抱歉，客服经理冷嘲热讽满嘴胡说。一次很不愉快的购物。推荐官网购买
2019-07-15 18:43:30,全网通（8GB 128GB）,冰岛白,耗电很快！一天3充！
2019-07-03 04:41:24,全网通（8GB 128GB）,幻影蓝,买前态度要多好有多好，买后问题咨询就暗讽刺，实在厉害！！！再也不相信了
2019-07-16 11:33:03,全网通（8GB 256GB）,冰岛白,华而不实，为所欲为。
2019-07-04 22:57:29,全网通（8GB 128GB）,幻夜黑,??买吧，980跑分的那种哦
2019-08-19 14:03:59,全网通（8GB 128GB）,幻夜黑,手机样子还行，就是拍照比不上oppo 录制视频手机也会发烫&hellip;&hellip;
2019-06-19 12:58:22,全网通（8GB 128GB）,幻影蓝,好好的手机为什么给我摔一下发过来，确认不是快递员摔得，外包装很好！！！
2019-07-01 07:12:18,全网通（8GB 128GB）,幻影蓝,手机还是不错的，速度很快，但是原厂自带膜上边有划痕，这让我怀疑是不是退货的手机，但是速度还是很快的，懒的计较了，退了嫌麻烦
2019-09-12 15:15:14,全网通（8GB 128GB）,冰岛白,讲真 后置拍照挺好的 但是前置 3200w可能只有320w吧
2019-06-30 18:25:01,全网通（8GB 128GB）,幻夜黑,首先这个今天买，明天同等价位，送充电宝，这个事情很恶心
2019-06-28 11:04:05,全网通（8GB 128GB）,幻影蓝,分期的时候是免息 优惠券当时显示可以叠加 还钱的时候多了一百多 最后一次 **的京东购物
2019-06-16 12:21:01,全网通（8GB 128GB）,幻影蓝,感觉一般吧?
2019-10-06 18:05:50,全网通（8GB 128GB）,幻影蓝,今上午十一点拍下的手机、下午五点就送到了，速度的确给力，满满的期待打开包装后检查发现听筒有掉漆就图片这样的现象，失望失落
2019-08-29 19:14:11,全网通（8GB 128GB）,幻夜黑,手机整体来说还可以，用着还行，拿着大小正合适，用了几天了感觉上还是不错的，不过我刚买了几个小时就送手环这让我不能接受
2019-08-08 10:54:50,全网通（8GB 128GB）,幻夜黑,20天屏幕 使劲闪 根本无法使用 今天来服务中心 目前在排号等待
2019-06-22 10:28:49,全网通（8GB 128GB）,幻夜黑,不开心，手机很好，但没有任何赠品，线下买都还能送个手机套之类的，真抠门
